A;Augsburg
AA;Ostalbkreis
AB;Aschaffenburg
ABG;Altenburger Land
ABI;Anhalt-Bitterfeld
AC;Aachen
AE;Vogtlandkreis
AH;Borken
AIB;München , Rosenheim
AIC;Aichach-Friedberg
AK;Altenkirchen (Westerwald)
ALF;Hildesheim
ALZ;Aschaffenburg
AM;Amberg, Stadt
AN;Ansbach
ANA;Erzgebirgskreis
ANG;Uckermark
ANK;Vorpommern-Greifswald
AÖ;Altötting
AP;Weimarer Land
APD;Weimarer Land
ARN;Ilm-Kreis
ART;Kyffhäuserkreis
AS;Amberg-Sulzbach
ASL;Salzlandkreis
ASZ;Erzgebirgskreis
AT;Mecklenburgische Seenplatte
AU;Erzgebirgskreis
AUR;Aurich
AW;Ahrweiler
AZ;Alzey-Worms
AZE;Anhalt-Bitterfeld
B;Berlin
BA;Bamberg
BAD;Baden-Baden, Stadt
BAR;Barnim
BB;Böblingen
BBG;Salzlandkreis
BC;Biberach
BCH;Neckar-Odenwald-Kreis
BE;Warendorf
BED;Mittelsachsen
BER;Barnim
BF;Steinfurt
BGD;Berchtesgadener Land
BGL;Berchtesgadener Land
BH;Ortenaukreis , Rastatt
BI;Bielefeld, Stadt
BID;Marburg-Biedenkopf
BIN;Mainz-Bingen
BIR;Birkenfeld
BIT;Eifelkreis Bitburg-Prüm
BIW;Bautzen
BK;Börde , Rems-Murr-Kreis, Schwäbisch Hall
BKS;Bernkastel-Wittlich
BL;Zollernalbkreis
BLB;Siegen-Wittgenstein
BLK;Burgenlandkreis
BM;Rhein-Erft-Kreis
BN;Bonn, Stadt
BNA;Leipzig
BO;Bochum, Stadt
BÖ;Börde
BOG;Straubing-Bogen
BOH;Borken
BOR;Borken
BOT;Bottrop, Stadt
BRA;Wesermarsch
BRB;Brandenburg, Stadt
BRG;Jerichower Land
BRK;Bad Kissingen
BRL;Goslar
BRV;Rotenburg (Wümme)
BS;Braunschweig, Stadt
BSB;Osnabrück
BSK;Oder-Spree
BT;Bayreuth
BTF;Anhalt-Bitterfeld
BÜD;Wetteraukreis
BUL;Amberg-Sulzbach , Schwandorf
BÜR;Paderborn
BÜS;Konstanz, Gemeinde Büsingen am Hochrhein
BÜZ;Rostock, Landkreis
BZ;Bautzen
C;Chemnitz, Stadt
CA;Oberspreewald-Lausitz
CAS;Recklinghausen
CB;Cottbus
CE;Celle
CHA;Cham
CLP;Cloppenburg
CLZ;Goslar
CO;Zulassungsstelle Coburg, Zweckverband
COC;Cochem-Zell
COE;Coesfeld
CR;Schwäbisch Hall
CUX;Cuxhaven
CW;Calw
D;Düsseldorf, Stadt
DA;Darmstadt
DAH;Dachau
DAN;Lüchow-Dannenberg
DAU;Vulkaneifel
DBR;Rostock, Landkreis
DD;Dresden, Stadt
DE;Dessau-Roßlau, Stadt
DEG;Deggendorf
DEL;Delmenhorst, Stadt
DGF;Dingolfing-Landau
DH;Diepholz
DI;Darmstadt-Dieburg
DIL;Lahn-Dill-Kreis
DIN;Wesel
DIZ;Rhein-Lahn-Kreis
DKB;Ansbach
DL;Mittelsachsen
DLG;Dillingen an der Donau
DM;Mecklenburgische Seenplatte
DN;Düren
DO;Dortmund, Stadt
DON;Donau-Ries in Donauwörth
DU;Duisburg, Stadt
DUD;Göttingen
DÜW;Bad Dürkeim
DW;Sächsische Schweiz-Osterzgebirge
DZ;Nordsachsen
E;Essen, Stadt
EA;Eisenach, Stadt
EB;Nordsachsen
EBE;Ebersberg
EBN;Haßberge
EBS;Bayreuth , Forchheim , Kulmbach
ECK;Rendsburg-Eckernförde
ED;Erding
EE;Elbe-Elster
EF;Erfurt, Stadt
EG;Rottal-Inn
EH;Oder-Spree
EI;Eichstätt
EIC;Eichsfeld
EIL;Mansfeld-Südharz
EIN;Northeim
EIS;Saale-Holzland-Kreis
EL;Emsland
EM;Emmendingen
EMD;Emden, Stadt
EMS;Rhein-Lahn-Kreis
EN;Ennepe-Ruhr-Kreis
ER;Erlangen, Stadt
ERB;Odenwaldkreis
ERH;Erlangen-Höchstadt
ERK;Heinsberg
ERZ;Erzgebirgskreis
ES;Esslingen
ESB;Amberg-Sulzbach , Bayreuth , Neustadt a. d. Waldnaab , Nürnberger Land
ESW;Werra-Meißner-Kreis
EU;Euskirchen
EW;Barnim
F;Frankfurt/Main, Stadt
FB;Wetteraukreis in Friedberg Hessen
FD;Fulda
FDB;Aichach-Friedberg
FDS;Freudenstadt
FEU;Ansbach
FF;Frankfurt (Oder), Stadt
FFB;Fürstenfeldbruck
FG;Mittelsachsen
FI;Elbe-Elster
FKB;Waldeck-Frankenberg
FL;Flensburg
FLÖ;Mittelsachsen
FN;Bodenseekreis
FO;Forchheim
FOR;Spree-Neiße
FR;Freiburg im Breisgau, Stadt , Breisgau-Hochschwarzwald
FRG;Freyung-Grafenau
FRI;Friesland
FRW;Märkisch-Oderland
FS;Freising , Moosburg
FT;Frankenthal (Pfalz), Stadt
FTL;Sächsische Schweiz-Osterzgebirge
FÜ;Fürth
FÜS;Ostallgäu
FW;Oder-Spree
FZ;Schwalm-Eder-Kreis
G;Gera, Stadt
GA;Altmarkkreis Salzwedel
GAN;Northeim
GAP;Garmisch-Partenkirchen
GC;Zwickau
GD;Ostalbkreis
GDB;Nordwestmecklenburg
GE;Gelsenkirchen, Stadt
GEL;Kleve
GEO;Haßberge , Schweinfurt
GER;Germersheim
GF;Gifhorn
GG;Groß-Gerau
GHA;Leipzig
GHC;Wittenberg
GI;Gießen
GK;Heinsberg
GL;Rheinisch-Bergischer Kreis
GLA;Recklinghausen
GM;Oberbergischer Kreis
GMN;Vorpommern-Rügen
GN;Main-Kinzig-Kreis
GNT;Jerichower Land
GÖ;Göttingen
GOA;Rhein-Hunsrück-Kreis
GOH;Rhein-Lahn-Kreis
GP;Göppingen
GR;Görlitz
GRA;Freyung-Grafenau
GRH;Meißen
GRI;Rottal-Inn
GRM;Leipzig
GRZ;Greiz
GS;Goslar
GT;Gütersloh
GTH;Gotha
GÜ;Landkreis Rostock
GUB;Spree-Neiße
GUN;Weißenburg-Gunzenhausen
GV;Rhein-Kreis Neuss
GVM;Nordwestmecklenburg
GW;Vorpommern-Greifswald
GZ;Günzburg
H;Hannover
HA;Hagen, Stadt
HAB;Bad Kissingen
HAL;Halle, Stadt
HAM;Hamm, Stadt
HAS;Haßberge
HB;Freie Hansestadt Bremen
HBN;Hildburghausen
HBS;Harz
HC;Mittelsachsen
HCH;Freudenstadt, Zollernalbkreis
HD;Heidelberg, Stadt , Rhein-Neckar-Kreis
HDH;Heidenheim
HDL;Börde
HE;Helmstedt
HEB;Nürnberger Land
HEF;Hersfeld-Rotenburg
HEI;Dithmarschen
HER;Herne, Stadt
HET;Mansfeld-Südharz
HF;Herford
HG;Hochtaunuskreis
HGN;Ludwigslust-Parchim
HGW;Hansestadt Greifswald
HH;Freie und Hansestadt Hamburg
HHM;Burgenlandkreis
HI;Hildesheim
HIG;Eichsfeld
HIP;Roth
HK;Heidekreis
HL;Hansestadt Lübeck
HM;Hameln-Pyrmont
HMÜ;Göttingen
HN;Heilbronn
HO;Hof
HOG;Kassel
HOH;Haßberge
HOL;Holzminden
HOM;Saarpfalz-Kreis außer Stadt St. Ingbert (IGB)
HOR;Freudenstadt
HÖS;Erlangen-Höchstadt
HOT;Zwickau
HP;Bergstraße
HR;Schwalm-Eder-Kreis
HRO;Hansestadt Rostock
HS;Heinsberg
HSK;Hochsauerlandkreis
HST;Hansestadt Stralsund, Stadt
HU;Hanau , Main-Kinzig-Kreis
HV;Stendal
HVL;Havelland
HWI;Hansestadt Wismar
HX;Höxter
HY;Bautzen
HZ;Harz
IGB;St. Ingbert, Stadt
IK;Ilmkreis
IL;Ilm-Kreis
ILL;Neu-Ulm
IN;Ingolstadt, Stadt
IZ;Steinburg
J;Jena, Stadt
JE;Wittenberg
JL;Jerichower Land
JÜL;Düren
K;Köln, Stadt
KA;Karlsruhe
KB;Waldeck-Frankenberg
KC;Kronach
KE;Kempten (Allgäu), Stadt
KEH;Kelheim
KEL;Ortenaukreis
KEM;Bayreuth , Tirschenreuth
KF;Kaufbeuren, Stadt
KG;Bad Kissingen
KH;Bad Kreuznach
KI;Kiel
KIB;Donnersbergkreis
KK;Viersen
KL;Kaiserslautern
KLE;Kleve
KLZ;Altmarkkreis Salzwedel
KM;Bautzen
KN;Konstanz
KO;Koblenz, Stadt
KÖN;Rhön-Grabfeld
KÖT;Anhalt-Bitterfeld
KÖZ;Cham
KR;Krefeld, Stadt
KRU;Günzburg
KS;Kassel
KT;Kitzingen
KU;Kulmbach
KÜN;Hohenlohekreis
KUS;Kusel
KW;Dahme-Spreewald
KY;Ostprignitz-Ruppin
KYF;Kyffhäuserkreis
L;Leipzig
LA;Landshut
LAN;Dingolfing-Landau
LAU;Nürnberger Land
LB;Ludwigsburg
LBS;Saale-Orla-Kreis
LBZ;Ludwigslust-Parchim
LC;Dahme-Spreewald
LDK;Lahn-Dill-Kreis in Wetzlar, Kreis
LDS;Dahme-Spreewald
LEO;Böblingen
LER;Leer
LEV;Leverkusen, Stadt
LF;Altötting , Berchtesgadener Land , Traunstein
LG;Lüneburg
LH;Coesfeld , Unna
LI;Lindau (Bodensee)
LIB;Elbe-Elster
LIF;Lichtenfels
LIP;Lippe
LL;Landsberg am Lech
LM;Limburg-Weilburg
LN;Dahme-Spreewald
LÖ;Lörrach
LÖB;Görlitz
LOS;Oder-Spree
LP;Soest
LR;Ortenaukreis
LRO;Rostock, Landkreis
LSZ;Unstrut-Hainich-Kreis
LU;Ludwigshafen am Rhein
LÜN;Unna
LUP;Ludwigslust-Parchim
LWL;Ludwigslust-Parchim
M;München
MA;Mannheim, Stadt
MAB;Erzgebirgskreis
MAI;Kelheim , Landshut
MAK;Wunsiedel i. Fichtelgebirge
MAL;Landshut , Straubing-Bogen
MB;Miesbach
MC;Mecklenburgische Seenplatte
MD;Magdeburg, Stadt
ME;Mettmann
MED;Dithmarschen
MEG;Schwalm-Eder-Kreis
MEI;Meißen
MEK;Erzgebirgskreis
MEL;Osnabrück
MER;Saalekreis
MET;Rhön-Grabfeld
MG;Mönchengladbach, Stadt
MGH;Main-Tauber-Kreis
MGN;Schmalkalden-Meiningen
MH;Mülheim an der Ruhr, Stadt
MHL;Unstrut-Hainich-Kreis
MI;Minden-Lübbecke
MIL;Miltenberg
MK;Märkischer Kreis
MKK;Main-Kinzig-Kreis
ML;Mansfeld-Südharz
MM;Memmingen, Stadt
MN;Unterallgäu
MO;Wesel
MOD;Ostallgäu
MOL;Märkisch-Oderland
MON;Aachen , Düren
MOS;Neckar-Odenwald-Kreis
MQ;Saalekreis
MR;Marburg-Biedenkopf
MS;Münster, Stadt
MSE;Mecklenburgische Seenplatte
MSH;Mansfeld-Südharz
MSP;Main-Spessart
MST;Mecklenburgische Seenplatte
MTK;Main-Taunus-Kreis
MTL;Leipzig
MÜ;Mühldorf am Inn
MÜB;Bayreuth , Hof
MÜR;Mecklenburgische Seenplatte
MW;Mittelsachsen
MY;Mayen-Koblenz
MYK;Mayen-Koblenz
MZ;Mainz
MZG;Merzig-Wadern
N;Nürnberg, Stadt , Nürnberger Land
NAB;Amberg-Sulzbach , Schwandorf
NAI;Hof
NAU;Havelland
NB;Neubrandenburg, Stadt 1)
ND;Neuburg-Schrobenhausen
NDH;Nordhausen
NE;Rhein-Kreis Neuss
NEA;Neustadt an der Aisch - Bad Windsheim
NEB;Burgenlandkreis
NEC;Zulassungsstelle Coburg, Zweckverband
NEN;Schwandorf
NES;Rhön-Grabfeld
NEW;Neustadt an der Waldnaab
NF;Nordfriesland
NH;Sonneberg
NI;Nienburg (Weser)
NK;Neunkirchen Saar
NM;Neumarkt in der Oberpfalz
NMB;Burgenlandkreis
NMS;Neumünster
NÖ;Donau-Ries
NOH;Grafschaft Bentheim
NOL;Görlitz
NOM;Northeim
NOR;Aurich
NP;Ostprignitz-Ruppin
NR;Neuwied
NT;Esslingen
NU;Neu-Ulm
NVP;Vorpommern-Rügen
NW;Neustadt an der Weinstraße
NWM;Nordwestmecklenburg
NY;Görlitz
NZ;Mecklenburgische Seenplatte
OA;Oberallgäu
OAL;Ostallgäu
OB;Oberhausen, Stadt
OBB;Miltenberg
OBG;Stendal
OC;Börde
OCH;Würzburg
OD;Stormarn
OE;Olpe
OF;Offenbach am Main
OG;Ortenaukreis
OH;Ostholstein
OHA;Göttingen
ÖHR;Hohenlohekreis
OHV;Oberhavel
OHZ;Osterholz
OK;Börde
OL;Oldenburg (Oldenburg)
OP;Leverkusen, Stadt
OPR;Ostprignitz-Ruppin
OS;Osnabrück
OSL;Oberspreewald-Lausitz
OVI;Schwandorf
OVL;Vogtlandkreis
OVP;Vorpommern-Greifswald
OZ;Nordsachsen
P;Potsdam, Stadt
PA;Passau
PAF;Pfaffenhofen a. d. Ilm
PAN;Rottal-Inn
PAR;Kelheim , Neumarkt i. d. Opf.,
PB;Paderborn
PCH;Ludwigslust-Parchim
PE;Peine
PEG;Bayreuth , Forchheim , Nürnberger Land
PF;Pforzheim, Stadt , Enzkreis
PI;Pinneberg
PIR;Sächsische Schweiz - Osterzgebirge
PL;Vogtlandkreis
PLÖ;Plön
PM;Potsdam-Mittelmark
PN;Saale-Orla-Kreis
PR;Prignitz
PRÜ;Eifelkreis Biturg-Prüm
PS;Pirmasens, Stadt , Südwestpfalz
PW;Vorpommern-Greifswald
PZ;Uckermark
QFT;Saalekreis
QLB;Harz
R;Regensburg
RA;Rastatt
RC;Vogtlandkreis
RD;Rendsburg-Eckernförde
RDG;Vorpommern-Rügen
RE;Recklinghausen
REG;Regen
REH;Hof , Wunsiedel im Fichtelgebirge
REI;Berchtesgadener Land
RG;Meißen
RH;Roth
RI;Schaumburg
RID;Kelheim
RIE;Meißen
RL;Mittelsachsen
RM;Mecklenburgische Seenplatte
RN;Havelland
RO;Rosenheim
ROD;Cham , Schwandorf
ROF;Hersfeld-Rotenburg
ROK;Donnersbergkreis
ROL;Kelheim , Landshut
ROS;Rostock, Landkreis
ROT;Ansbach
ROW;Rotenburg (Wümme)
RP;Rhein-Pfalz-Kreis
RS;Remscheid, Stadt
RSL;Dessau-Roßlau, Stadt
RT;Reutlingen
RU;Saalfeld-Rudolstadt
RÜD;Rheingau-Taunus-Kreis
RÜG;Vorpommern-Rügen
RV;Ravensburg
RW;Rottweil
RZ;Herzogtum Lauenburg
S;Stuttgart, Stadt
SAB;Trier-Saarburg
SAD;Schwandorf
SAN;Hof , Kronach , Kulmbach
SAW;Altmarkkreis Salzwedel
SB;Saarbrücken, Stadt und Stadtverband außer Völklingen, Stadt (VK)
SBG;Vorpommern-Greifswald
SBK;Salzlandkreis
SC;Schwabach, Stadt
SCZ;Saale-Orla-Kreis
SDH;Kyffhäuserkreis
SDL;Stendal
SDT;Uckermark
SE;Segeberg
SEB;Sächsische Schweiz - Osterzgebirge
SEE;Märkisch-Oderland
SEF;Neustadt a. d. Aisch-Bad Windsheim
SEL;Wunsiedel i. Fichtelgebirge
SFB;Oberspreewald-Lausitz
SFT;Salzlandkreis
SG;Solingen, Stadt
SGH;Mansfeld-Südharz
SHA;Schwäbisch Hall
SHG;Schaumburg
SHK;Saale-Holzland-Kreis
SHL;Suhl, Stadt
SI;Siegen-Wittgenstein
SIG;Sigmaringen
SIM;Rhein-Hunsrück-Kreis
SK;Saalekreis
SL;Schleswig-Flensburg
SLE;Düren , Euskirchen
SLF;Saalfeld-Rudolstadt
SLK;Salzlandkreis
SLN;Altenburger-Land
SLS;Saarlouis
SLÜ;Main-Kinzig-Kreis
SLZ;Wartburgkreis
SM;Schmalkalden-Meiningen
SMÜ;Augsburg
SN;Schwerin, Stadt
SO;Soest
SOB;Neuburg-Schrobenhausen
SOG;Weilheim-Schongau
SOK;Saale-Orla-Kreis
SÖM;Sömmerda
SON;Sonneberg
SP;Speyer, Stadt
SPB;Spree-Neiße
SPN;Spree-Neiße
SR;Straubing , Straubing-Bogen
SRB;Märkisch-Oderland
SRO;Saale-Holzland-Kreis
ST;Steinfurt
STA;Starnberg
STB;Ludwigslust-Parchim
STD;Stade
STE;Lichtenfels
STL;Erzgebirgskreis
SU;Rhein-Sieg-Kreis
SUL;Amberg-Sulzbach
SÜW;Südliche Weinstraße
SW;Schweinfurt
SWA;Rheingau-Taunus-Kreis
SY;Diepholz
SZ;Salzgitter, Stadt
SZB;Erzgebirgskreis
TBB;Main-Tauber-Kreis
TDO;Nordsachsen
TE;Steinfurt
TET;Rostock, Landkreis
TF;Teltow-Fläming
TG;Nordsachsen
TIR;Tirschenreuth
TO;Nordsachsen
TÖL;Bad Tölz-Wolfratshausen
TP;Uckermark
TR;Trier, Stadt und Trier-Saarburg
TS;Traunstein
TÜ;Tübingen
TUT;Tuttlingen
UE;Uelzen
UEM;Vorpommern-Greifswald
UER;Vorpommern-Greifswald
UFF;Neustadt a. d. Aisch-Bad Windsheim
UH;Unstrut-Hainich-Kreis
UL;Ulm, Stadt , Alb-Donaukreis
UM;Uckermark
UN;Unna
USI;Hochtaunuskreis
V;Vogtlandkreis
VAI;Ludwigsburg
VB;Vogelsbergkreis
VEC;Vechta
VER;Verden
VG;Vorpommern-Greifswald
VIB;Landshut , Rottal-Inn
VIE;Viersen
VIT;Regen
VK;Völklingen, Stadt
VOH;Neustadt a. d. Waldnaab
VR;Vorpommern-Rügen
VS;Schwarzwald-Baar-Kreis
W;Wuppertal, Stadt
WA;Waldeck-Frankenberg
WAF;Warendorf
WAK;Wartburgkreis
WAN;Herne, Stadt
WAR;Höxter
WAT;Bochum, Stadt
WB;Wittenberg
WBS;Eichsfeld
WDA;Zwickau
WE;Weimar, Stadt
WEL;Limburg-Weilburg
WEN;Weiden in der Oberpfalz, Stadt
WER;Augsburg , Dillingen a. d. Donau
WES;Wesel
WF;Wolfenbüttel
WHV;Wilhelmshaven, Stadt
WI;Wiesbaden, Stadt
WIL;Bernkastel-Wittlich
WIS;Nordwestmecklenburg
WIT;Ennepe-Ruhr-Kreis
WIZ;Werra-Meißner-Kreis
WK;Ostprignitz-Ruppin
WL;Harburg
WLG;Vorpommern-Greifswald
WM;Weilheim-Schongau
WMS;Börde
WN;Rems-Murr-Kreis
WND;St. Wendel
WO;Worms, Stadt
WOB;Wolfsburg, Stadt
WOH;Kassel
WOL;Freudenstadt, Ortenaukreis
WOR;Bad Tölz-Wolfratshausen , München , Starnberg
WOS;Freyung-Grafenau
WR;Harz
WRN;Mecklenburgische Seenplatte
WS;Mühldorf am Inn , Rosenheim
WSF;Burgenlandkreis
WST;Ammerland
WSW;Görlitz
WT;Waldshut
WTL;Osnabrück
WTM;Wittmund
WÜ;Würzburg
WUG;Weißenburg-Gunzenhausen
WÜM;Cham
WUN;Wunsiedel im Fichtelgebirge
WUR;Leipzig
WW;Westerwald
WZ;Wetzlar, Stadt
WZL;Börde
Z;Zwickau
ZE;Anhalt-Bitterfeld
ZEL;Cochem-Zell
ZI;Görlitz
ZIG;Schwalm-Eder-Kreis
ZP;Erzgebirgskreis
ZR;Greiz
ZW;Südwestpfalz , Zweibrücken, Stadt
ZZ;Landkreis Burgenland